Date,Sticky_Price_CPI,Sticky_Price_CPI_Less_Shelter,Sticky_Price_CPI_Less_Food_Energy,Sticky_Price_CPI_Less_Food_Energy_Shelter,Trimmed_Mean_PCE_Inflation_Rate,16_Percent_Trimmed_Mean_CPI,Median_CPI,Flexible_Price_CPI,Flexible_Price_CPI_Less_Food_Energy
1987-12-01,4.231618382,3.748418092,4.302583149,3.764268901,3.63,3.93389534424242,3.9368447667368103,5.138174405,4.306318113
1988-01-01,4.276513288,3.714372785,4.383640423,3.777645421,3.62,3.77085690163066,3.76765592644981,3.881421736,3.979763545
1988-02-01,4.298611687,3.819990038,4.386553409,3.868142744,3.58,3.76019823215461,3.7316951912340897,2.952551542,3.64365784
1988-03-01,4.373500428,3.886768723,4.451939222,3.915485434,3.56,3.79693522575126,3.783203654277,2.85635313,3.872756428
1988-04-01,4.344401055,4.072630335,4.388452903,4.089142582,3.51,3.79001120567717,3.78358616487875,3.20654653,4.115962636
1988-05-01,4.387480613,4.216283426,4.445286952,4.282044005,3.49,3.7437627163754903,3.69271554415422,3.013041367,3.774935727
1988-06-01,4.612333941,4.415671293,4.685384324,4.503492809,3.59,3.8390321569092594,3.84308844520262,2.727379672,3.773922374
1988-07-01,4.65198281,4.40870214,4.712055892,4.461294456,3.77,3.94463484222851,3.87483877256651,3.26867566,3.810690062
1988-08-01,4.633284795,4.459216916,4.685749317,4.514520742,3.71,3.94318547820736,4.03768709386523,2.962854,3.168261791
1988-09-01,4.67156076,4.526903045,4.73102913,4.60206515,3.87,4.05401078914425,4.019692320773149,3.345090244,3.862837119
1988-10-01,4.574468482,4.640180671,4.616281806,4.732604422,3.82,4.11810955835938,4.0603419873398,3.633295102,4.019009443
1988-11-01,4.691280839,4.688127343,4.751873732,4.798727993,3.87,4.10575433531979,4.02935416707828,3.441963363,3.722401304
1988-12-01,4.741324332,4.930650426,4.798725378,5.08097901,4.01,4.26531986572001,4.1224613453765295,3.680444254,4.190886421
1989-01-01,4.723486606,5.096444284,4.756783262,5.245617081,4.05,4.37498050037408,4.23622800036425,4.202421479,4.543779962
